Frequency,RSSI,SNR,Channel,BSS,NF,Ch_load,Interference,Predicted Interference
2412,-25.0,47.0,1.0,26,-72,108.65384615384616,60.1063829787234,62.163364
2412,-17.0,55.0,1.0,26,-72,108.65384615384616,51.36363636363637,49.103737
2412,-17.0,55.0,1.0,26,-72,108.65384615384616,51.36363636363637,49.103737
2412,-16.0,56.0,1.0,26,-72,108.65384615384616,50.44642857142857,48.180237
2412,-17.0,55.0,1.0,26,-72,108.65384615384616,51.36363636363637,49.103737
2412,-14.0,58.0,1.0,26,-72,108.65384615384616,48.706896551724135,46.6734
2412,-18.0,54.0,1.0,26,-72,108.65384615384616,52.31481481481482,50.027245
2412,-18.0,54.0,1.0,26,-72,108.65384615384616,52.31481481481482,50.027245
2412,-23.0,49.0,1.0,26,-72,108.65384615384616,57.6530612244898,57.799465
2412,-28.0,44.0,1.0,26,-72,108.65384615384616,64.20454545454545,69.54245
2412,-64.0,8.0,1.0,26,-72,108.65384615384616,353.125,204.88779
2412,-23.0,49.0,1.0,26,-72,108.65384615384616,57.6530612244898,57.799465
2412,-23.0,49.0,1.0,26,-72,108.65384615384616,57.6530612244898,57.799465
2412,-14.0,58.0,1.0,26,-72,108.65384615384616,48.706896551724135,46.6734
2412,-17.0,55.0,1.0,26,-72,108.65384615384616,51.36363636363637,49.103737
2412,-16.0,56.0,1.0,26,-72,108.65384615384616,50.44642857142857,48.180237
2412,-14.0,58.0,1.0,26,-72,108.65384615384616,48.706896551724135,46.6734
2412,-13.0,59.0,1.0,26,-72,108.65384615384616,47.88135593220339,45.936226
2412,-16.0,56.0,1.0,26,-72,108.65384615384616,50.44642857142857,48.180237
2412,-16.0,56.0,1.0,26,-72,108.65384615384616,50.44642857142857,48.180237
2412,-16.0,56.0,1.0,26,-72,108.65384615384616,50.44642857142857,48.180237
2412,-17.0,55.0,1.0,26,-72,108.65384615384616,51.36363636363637,49.103737
2412,-60.0,12.0,1.0,26,-72,108.65384615384616,235.41666666666663,188.28981
2412,-60.0,12.0,1.0,26,-72,108.65384615384616,235.41666666666663,188.28981
2412,-48.0,24.0,1.0,26,-72,108.65384615384616,117.70833333333331,139.14148
2412,-48.0,24.0,1.0,26,-72,108.65384615384616,117.70833333333331,139.14148
5180,-28.0,79.0,36.0,62,-107,86.66666666666667,68.0168776371308,69.21667
5180,-28.0,79.0,36.0,62,-107,86.66666666666667,68.0168776371308,69.21667
5180,-78.0,29.0,36.0,62,-107,86.66666666666667,185.2873563218391,193.3775
5180,-43.0,64.0,36.0,62,-107,86.66666666666667,83.95833333333334,75.74643
5180,-83.0,24.0,36.0,62,-107,86.66666666666667,223.8888888888889,218.57533
5180,-31.0,76.0,36.0,62,-107,86.66666666666667,70.70175438596492,70.10898
5180,-31.0,76.0,36.0,62,-107,86.66666666666667,70.70175438596492,70.10898
5180,-55.0,52.0,36.0,62,-107,86.66666666666667,103.33333333333334,98.44636
5180,-26.0,81.0,36.0,62,-107,86.66666666666667,66.33744855967079,68.621796
5180,-26.0,81.0,36.0,62,-107,86.66666666666667,66.33744855967079,68.621796
5180,-28.0,79.0,36.0,62,-107,86.66666666666667,68.0168776371308,69.21667
5180,-28.0,79.0,36.0,62,-107,86.66666666666667,68.0168776371308,69.21667
5180,-72.0,35.0,36.0,62,-107,86.66666666666667,153.52380952380955,163.287
5180,-71.0,36.0,36.0,62,-107,86.66666666666667,149.25925925925927,158.41978
5180,-31.0,76.0,36.0,62,-107,86.66666666666667,70.70175438596492,70.10898
5180,-54.0,53.0,36.0,62,-107,86.66666666666667,101.38364779874216,95.37206
5180,-54.0,53.0,36.0,62,-107,86.66666666666667,101.38364779874216,95.37206
5180,-82.0,25.0,36.0,62,-107,86.66666666666667,214.93333333333337,213.53577
5180,-83.0,24.0,36.0,62,-107,86.66666666666667,223.8888888888889,218.57533
5180,-84.0,23.0,36.0,62,-107,86.66666666666667,233.62318840579712,223.61488
5180,-85.0,22.0,36.0,62,-107,86.66666666666667,244.24242424242428,228.65446
5180,-73.0,34.0,36.0,62,-107,86.66666666666667,158.03921568627453,168.26485
5180,-79.0,28.0,36.0,62,-107,86.66666666666667,191.90476190476195,198.41707
5180,-87.0,20.0,36.0,62,-107,86.66666666666667,268.6666666666667,238.73357
5180,-80.0,27.0,36.0,62,-107,86.66666666666667,199.0123456790124,203.45665
5180,-55.0,52.0,36.0,62,-107,86.66666666666667,103.33333333333334,98.44636
5180,-85.0,22.0,36.0,62,-107,86.66666666666667,244.24242424242428,228.65446
5180,-83.0,24.0,36.0,62,-107,86.66666666666667,223.8888888888889,218.57533
5180,-84.0,23.0,36.0,62,-107,86.66666666666667,233.62318840579712,223.61488
5180,-39.0,68.0,36.0,62,-107,86.66666666666667,79.01960784313727,73.00761
5180,-32.0,75.0,36.0,62,-107,86.66666666666667,71.64444444444445,70.40641
5180,-39.0,68.0,36.0,62,-107,86.66666666666667,79.01960784313727,73.00761
5180,-80.0,27.0,36.0,62,-107,86.66666666666667,199.0123456790124,203.45665
5180,-78.0,29.0,36.0,62,-107,86.66666666666667,185.2873563218391,193.3775
5180,-83.0,24.0,36.0,62,-107,86.66666666666667,223.8888888888889,218.57533
5180,-85.0,22.0,36.0,62,-107,86.66666666666667,244.24242424242428,228.65446
5180,-85.0,22.0,36.0,62,-107,86.66666666666667,244.24242424242428,228.65446
5180,-31.0,76.0,36.0,62,-107,86.66666666666667,70.70175438596492,70.10898
5180,-32.0,75.0,36.0,62,-107,86.66666666666667,71.64444444444445,70.40641
5180,-82.0,25.0,36.0,62,-107,86.66666666666667,214.93333333333337,213.53577
5180,-32.0,75.0,36.0,62,-107,86.66666666666667,71.64444444444445,70.40641
5180,-32.0,75.0,36.0,62,-107,86.66666666666667,71.64444444444445,70.40641
5180,-31.0,76.0,36.0,62,-107,86.66666666666667,70.70175438596492,70.10898
5180,-34.0,73.0,36.0,62,-107,86.66666666666667,73.60730593607306,71.00128
5180,-34.0,73.0,36.0,62,-107,86.66666666666667,73.60730593607306,71.00128
5180,-31.0,76.0,36.0,62,-107,86.66666666666667,70.70175438596492,70.10898
5180,-31.0,76.0,36.0,62,-107,86.66666666666667,70.70175438596492,70.10898
5180,-69.0,38.0,36.0,62,-107,86.66666666666667,141.40350877192984,149.18347
5180,-78.0,29.0,36.0,62,-107,86.66666666666667,185.2873563218391,193.3775
5180,-80.0,27.0,36.0,62,-107,86.66666666666667,199.0123456790124,203.45665
5180,-63.0,44.0,36.0,62,-107,86.66666666666667,122.12121212121214,124.44297
5180,-65.0,42.0,36.0,62,-107,86.66666666666667,127.93650793650797,132.07574
5180,-70.0,37.0,36.0,62,-107,86.66666666666667,145.22522522522524,153.74535
5180,-67.0,40.0,36.0,62,-107,86.66666666666667,134.33333333333334,140.41437
5180,-69.0,38.0,36.0,62,-107,86.66666666666667,141.40350877192984,149.18347
5180,-67.0,40.0,36.0,62,-107,86.66666666666667,134.33333333333334,140.41437
5180,-69.0,38.0,36.0,62,-107,86.66666666666667,141.40350877192984,149.18347
5180,-32.0,75.0,36.0,62,-107,86.66666666666667,71.64444444444445,70.40641
5180,-71.0,36.0,36.0,62,-107,86.66666666666667,149.25925925925927,158.41978
5180,-82.0,25.0,36.0,62,-107,86.66666666666667,214.93333333333337,213.53577
5180,-87.0,20.0,36.0,62,-107,86.66666666666667,268.6666666666667,238.73357
5180,-89.0,18.0,36.0,62,-107,86.66666666666667,298.51851851851853,248.8127
2437,-48.0,36.0,6.0,6,-84,77.14285714285715,12.857142857142858,12.063875
2437,-20.0,64.0,6.0,6,-84,77.14285714285715,7.232142857142858,10.530705
2437,-21.0,63.0,6.0,6,-84,77.14285714285715,7.346938775510204,10.347499
2437,-48.0,36.0,6.0,6,-84,77.14285714285715,12.857142857142858,12.063875
2437,-50.0,34.0,6.0,6,-84,77.14285714285715,13.613445378151262,13.611556
2437,-70.0,14.0,6.0,6,-84,77.14285714285715,33.06122448979592,54.36391
2447,-52.0,34.0,8.0,1,-86,59.04761904761905,1.7366946778711485,2.5627415
2462,-19.0,62.0,,11,-81,80.0,14.193548387096774,13.493823
2462,-59.0,22.0,11.0,11,-81,80.0,40.0,37.995636
2462,-26.0,55.0,11.0,11,-81,80.0,16.0,12.301841
2462,-49.0,32.0,11.0,11,-81,80.0,27.5,20.05571
2462,-59.0,22.0,11.0,11,-81,80.0,40.0,37.995636
2462,-25.0,56.0,11.0,11,-81,80.0,15.714285714285714,12.446869
2462,-59.0,22.0,11.0,11,-81,80.0,40.0,37.995636
2462,-59.0,22.0,11.0,11,-81,80.0,40.0,37.995636
2462,-59.0,22.0,11.0,11,-81,80.0,40.0,37.995636
2462,-59.0,22.0,11.0,11,-81,80.0,40.0,37.995636
2462,-52.0,29.0,11.0,11,-81,80.0,30.344827586206897,23.944233
2427,-64.0,22.0,4.0,2,-86,80.95238095238095,7.359307359307359,37.401333
2427,-60.0,26.0,4.0,2,-86,80.95238095238095,6.227106227106227,27.294752
2432,-56.0,31.0,5.0,1,-87,100.9047619047619,100.35176651305684,78.16557
2452,-66.0,20.0,9.0,1,-86,38.095238095238095,1.9047619047619049,2.725634
2452,-66.0,20.0,9.0,1,-86,38.095238095238095,1.9047619047619049,2.725634
2452,-66.0,20.0,9.0,1,-86,38.095238095238095,1.9047619047619049,2.725634
2452,-66.0,20.0,9.0,1,-86,38.095238095238095,1.9047619047619049,2.725634
2452,-66.0,20.0,9.0,1,-86,38.095238095238095,1.9047619047619049,2.725634
2452,-66.0,20.0,9.0,1,-86,38.095238095238095,1.9047619047619049,2.725634
2452,-66.0,20.0,9.0,1,-86,38.095238095238095,1.9047619047619049,2.725634
2452,-66.0,20.0,9.0,1,-86,38.095238095238095,1.9047619047619049,2.725634
